singular,plural,article
police officer,police officers,a
baker,bakers,a
butcher,butchers,a
engineer,engineers,an
fireman,firemen,a
fire chief,fire chiefs,a
chef,chefs,a
CEO,CEOs,a
lawyer,lawyers,a
surgeon,surgeons,a
executive,executives,an
pilot,pilots,a
professor,professors,a
historian,historians,a
librarian,librarians,a
archeologist,archeologists,an
fisherman,fishermen,a
surfer,surfers,a
rapper,rappers,a
musician,musicians,a
accountant,accountants,an
psychologist,psychologists,a
psychiatrist,psychiatrists,a
fashion designer,fashion designers,a
drug dealer,drug dealers,a
salesman,salemen,a
mathematician,mathematicians,a
farmer,farmers,a
athlete,athletes,an
