singular,plural,article,quantifier
animal,animals,an,"a couple, some"
balloon,balloons,a,"a couple,some"
beer,beers, a,"a couple,some"
blood,blood,,some
breakfast,breakfast,,some
bubble,bubbles,a,"a couple,some"
bucket,buckets,a,"a couple,some"
chair,chairs,,"a couple,some"
champagne,champagne,,some
chocolate,chocolates,,"a couple,some"
cleaver,cleavers,a,"a couple,some"
cocaine,cocaine,,some
couch,couches,a,"a couple,some"
crayon,crayons,a,"a couple,some"
drug,drugs,,"a couple,some"
elbow,elbows,an,"a couple,some"
eyeball,eyeballs,,"a couple,some"
faucet,faucets,a,"a couple,some"
feather,feathers,a,"a couple,some"
flag,flags,,"a couple,some"
flesh,flesh,,some
flower,flowers,a,"a couple,some"
food,food,,some
football,footballs,a,"a couple,some"
garbage,garbage,,some
guitar,guitars,a,"a couple,some"
jacket,jackets,a,"a couple,some"
knife,knives,a,"some,a couple"
medication,medication,,some
milk,milk,,some
pasta,pasta,,some
potpourri,potpourri,,some
pumpkin,pumpkins,a,"a couple,some"
rock,rocks,a,"a couple,some"
sandwich,sandwiches,a,some
soap,soap,,some
soda,sodas,a,"a couple,some"
television,televisions,a,"a couple,some"
tofu,tofu,,some
tooth,teeth,a,"a couple,some"
water,water,,some
