singular,plural,article,prepositions
Afghanistan,,,in
airplane,,an,"in,on top of,beneath"
airplane cockpit,,an,in
airport bathroom,,an,in
airport runway,,an,on
aquarium,,an,"at,in"
barn,,a,in
basement,,a,in
bath tub,,a,in
bathroom,,a,"in,inside"
bathroom stall,,a,"in,inside"
bed,,a,"inside,on top of"
boat,,a,"on,on top of"
chicken coop,,a,in
church,,a,"in,inside,near,on top of"
city dump,,a,at
classroom,,a,"in,inside,outside"
college campus,,a,"on,near"
cruise ship,,a,on
daycare center,,a,in
Delaware,,,in
dentist waiting room,,a,in
doctor's office,,a,"in,near"
dog house,,a,in
drain pipe,,a,in
Egypt,,,in
forest,,a,in
France,,,in
garbage can,,a,"in,next to"
Gazebo,,a,"in,near,inside"
Germany,,,in
gym locker,,a,in
haunted house,,a,"in,near,next to,on top of"
hiking trail,,a,"near,on,next to"
indian reservation,,an,at
Iraq,,,in
Italy,,,in
jail cell,,a,in
kitchen cabinet,,a,in
laboratory,,a,in
Libya,,,in
local fire station,,a,"in,inside,near,on top of"
local library,,a,"in,inside,near,on top of"
local parking lot,,a,at
local police station,,a,in
local shopping mall,,a,at
mass grave,,a,in
missile silo,,a,"inside,next to"
moon crater,,a,in
Mount Everest,,,"on,on top of"
music festival,,a,"at, near"
neighborhood bar,,a,"at, in"
ocean,,the,"inside,near,underneath"
park bench,,a,on
pizzeria,,a,"inside,outside,on top of,next to"
playground,,a,"at,next to,near"
pool,,a,in
portable toilet,,a,in
principal's office,,a,in
prison cell,,a,in
recording studio,,a,in
recycling center,,a,at
roof,,a,on
school property,,,"on,near,next to"
sewer,,a,in
Spain,,,in
subway car,,a,"in,on top of"
supermarket,,a,"at, in"
Sweden,,,in
table,,a,"on top of, under"
tool shed,,a,in
town hall meeting,,a,"in, during"
treasure chest,,a,"inside,next to"
volcano,,a,"inside,on top of,next to"
White House,,the,"inside,outside,underneath, "
wine cellar,,a,in
zoo,,a,"in,near"
